Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
Man,185,87,129,58,20,11
Woman,278,70,141,48,13,9
Other,10,1,4,1,1,1
