Option,I was discouraged from pursuing medical school by my pre-medical advising experience,Not I was discouraged from pursuing medical school by my pre-medical advising experience
"Physical sciences (incl. math, CS)",1,351
"Not Physical sciences (incl. math, CS)",3,662
