Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
"Physical sciences (incl. math, CS)",10,105,89,47,28,8,6,4
"Not Physical sciences (incl. math, CS)",15,122,162,108,49,39,26,9
