Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
"Physical sciences (incl. math, CS)",157,60,109,30,15,9
"Not Physical sciences (incl. math, CS)",308,97,165,76,19,11
