Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
"Physical sciences (incl. math, CS)",120,175,62,23
"Not Physical sciences (incl. math, CS)",227,295,136,27
