Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Heterosexual,67,218,314,179,68
Gay,4,28,13,24,11
Bisexual,6,24,27,32,15
Other,2,10,8,14,11
