Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
Heterosexual,371,124,219,85,25,15
Gay,31,14,22,9,2,2
Bisexual,49,16,24,7,4,4
Other,20,4,11,6,3,0
