Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Heterosexual,291,407,25,103,21
Gay,28,43,0,7,2
Bisexual,36,53,3,10,2
Other,14,22,0,7,1
