Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Heterosexual,19,183,187,122,60,40,28,8
Gay,2,17,25,4,5,6,3,3
Bisexual,2,20,30,20,9,3,1,1
Other,2,11,10,10,3,1,0,1
