Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Heterosexual,270,370,162,45
Gay,28,33,15,4
Bisexual,37,49,16,2
Other,16,20,8,1
