Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
Heterosexual,51,378,144,230,45
Gay,4,25,13,30,8
Bisexual,2,44,15,38,4
Other,3,14,7,13,8
