Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
I am not eligible to vote,0,27,27,18,13,4,4,1
Not I am not eligible to vote,25,203,224,135,64,46,28,12
