Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
I am not familiar enough to answer,82,160,209,16,3
Strongly agree,38,65,46,8,1
Somewhat agree,65,100,94,15,2
It has remained the same,21,32,38,15,1
Somewhat disagree,5,9,15,4,1
Strongly disagree,6,2,9,4,0
