Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
I am not familiar enough to answer,144,250,12,54,13
Strongly agree,68,70,5,12,3
Somewhat agree,91,135,7,36,6
It has remained the same,40,43,4,17,3
Somewhat disagree,13,17,0,3,1
Strongly disagree,12,5,0,3,1
