Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
I am not familiar enough to answer,35,223,78,113,24
Strongly agree,6,63,21,59,9
Somewhat agree,9,115,46,84,21
It has remained the same,5,31,23,42,6
Somewhat disagree,3,16,5,8,2
Strongly disagree,2,11,3,4,1
