Option,36,35,34,33,32,31,30,29,<29
I am not familiar enough to answer,18,49,67,23,25,17,10,13,12
Strongly agree,3,23,17,12,6,3,2,6,6
Somewhat agree,9,23,26,23,13,13,11,4,10
It has remained the same,4,7,5,4,4,4,1,4,1
Somewhat disagree,2,3,4,1,3,1,5,0,0
Strongly disagree,1,2,3,1,0,1,1,1,0
