Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
I am not familiar enough to answer,86,161,194,28,4
Strongly agree,24,81,41,12,0
Somewhat agree,28,123,86,35,2
It has remained the same,13,35,41,17,1
Somewhat disagree,4,14,9,7,0
Strongly disagree,5,6,8,2,0
