Option,Heterosexual,Gay,Bisexual,Other
I am not familiar enough to answer,371,31,49,20
Strongly agree,124,14,16,4
Somewhat agree,219,22,24,11
It has remained the same,85,9,7,6
Somewhat disagree,25,2,4,3
Strongly disagree,15,2,4,0
