Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
I am not familiar enough to answer,39,122,161,109,41
Strongly agree,15,46,55,28,14
Somewhat agree,21,73,79,68,34
It has remained the same,2,31,39,25,10
Somewhat disagree,2,3,12,13,4
Strongly disagree,1,3,14,2,1
