Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
I am not familiar enough to answer,473,0,0,0,0,0
Strongly agree,0,158,0,0,0,0
Somewhat agree,0,0,276,0,0,0
It has remained the same,0,0,0,107,0,0
Somewhat disagree,0,0,0,0,34,0
Strongly disagree,0,0,0,0,0,21
