Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
I do not use any services offered by CareerLAB,126,158,77,27
Not I do not use any services offered by CareerLAB,225,310,124,25
