Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
Resume and cover letter assistance,98,128,51,7
Not Resume and cover letter assistance,253,340,150,45
