Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
The Job and Internship Board,108,50,89,37,13,7
Not The Job and Internship Board,363,107,186,69,20,14
