Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
Resume and cover letter assistance,5,49,66,48,24,17,10,3
Not Resume and cover letter assistance,20,180,185,107,53,33,22,10
