Option,I do not use any services offered by CareerLAB,Not I do not use any services offered by CareerLAB
They were a strong factor in my decision,126,225
They were a minor factor in my decision,158,310
"I looked at college rankings, but they did not factor into my decision",77,124
I did not look at college rankings,27,25
