Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
They were a strong factor in my decision,120,227
They were a minor factor in my decision,175,295
"I looked at college rankings, but they did not factor into my decision",62,136
I did not look at college rankings,23,27
