Option,Heterosexual,Gay,Bisexual,Other
They were a strong factor in my decision,270,28,37,16
They were a minor factor in my decision,370,33,49,20
"I looked at college rankings, but they did not factor into my decision",162,15,16,8
I did not look at college rankings,45,4,2,1
