Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
They were a strong factor in my decision,3,349
They were a minor factor in my decision,2,466
"I looked at college rankings, but they did not factor into my decision",0,197
I did not look at college rankings,0,51
