Option,I was discouraged from pursuing medical school by family members,Not I was discouraged from pursuing medical school by family members
They were a strong factor in my decision,2,332
They were a minor factor in my decision,1,451
"I looked at college rankings, but they did not factor into my decision",1,190
I did not look at college rankings,0,49
