Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
They were a strong factor in my decision,111,172,9,41,18
They were a minor factor in my decision,163,233,12,57,7
"I looked at college rankings, but they did not factor into my decision",75,96,6,23,1
I did not look at college rankings,21,24,0,6,1
