Option,American Indian/Alaska Native,Not American Indian/Alaska Native
They were a strong factor in my decision,8,344
They were a minor factor in my decision,2,466
"I looked at college rankings, but they did not factor into my decision",5,192
I did not look at college rankings,0,51
