Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
They were a strong factor in my decision,27,161,59,83,22
They were a minor factor in my decision,20,217,67,147,21
"I looked at college rankings, but they did not factor into my decision",8,68,38,70,17
I did not look at college rankings,5,17,14,11,5
