Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
They were a strong factor in my decision,66,125,139,19,2
They were a minor factor in my decision,91,171,177,30,3
"I looked at college rankings, but they did not factor into my decision",56,59,73,11,1
I did not look at college rankings,8,17,23,2,2
