Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
They were a strong factor in my decision,175,20,62,60,32
They were a minor factor in my decision,250,26,100,67,23
"I looked at college rankings, but they did not factor into my decision",102,16,30,30,21
I did not look at college rankings,28,2,8,10,3
