Option,I am no longer interested in becoming a doctor,Not I am no longer interested in becoming a doctor
They were a strong factor in my decision,14,320
They were a minor factor in my decision,31,421
"I looked at college rankings, but they did not factor into my decision",9,182
I did not look at college rankings,3,46
