Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
They were a strong factor in my decision,11,60,77,55,30,24,13,5
They were a minor factor in my decision,7,120,130,60,32,18,8,3
"I looked at college rankings, but they did not factor into my decision",7,41,33,34,13,6,9,5
I did not look at college rankings,0,9,13,7,2,2,2,0
