Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
They were a strong factor in my decision,27,90,124,74,36
They were a minor factor in my decision,38,122,161,118,33
"I looked at college rankings, but they did not factor into my decision",10,56,63,46,26
I did not look at college rankings,5,12,14,11,10
