Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
They were a strong factor in my decision,352,0,0,0
They were a minor factor in my decision,0,473,0,0
"I looked at college rankings, but they did not factor into my decision",0,0,201,0
I did not look at college rankings,0,0,0,52
