Option,Pre-medical courses were too challenging,Not Pre-medical courses were too challenging
They were a strong factor in my decision,6,328
They were a minor factor in my decision,7,445
"I looked at college rankings, but they did not factor into my decision",2,189
I did not look at college rankings,0,49
