Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
They were a strong factor in my decision,59,132,132,27,2
They were a minor factor in my decision,60,198,159,53,1
"I looked at college rankings, but they did not factor into my decision",34,79,68,19,1
I did not look at college rankings,7,19,19,4,3
