Option,First-year,Sophomore,Junior,Senior
They were a strong factor in my decision,115,85,84,68
They were a minor factor in my decision,151,134,106,81
"I looked at college rankings, but they did not factor into my decision",52,69,37,42
I did not look at college rankings,13,17,9,12
