Option,36,35,34,33,32,31,30,29,<29
They were a strong factor in my decision,6,36,49,16,17,12,9,15,12
They were a minor factor in my decision,20,47,48,29,20,19,11,6,13
"I looked at college rankings, but they did not factor into my decision",8,20,21,18,7,7,9,6,3
I did not look at college rankings,3,4,4,1,7,2,2,1,2
