Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
They were a strong factor in my decision,157,56,80,34,7,14
They were a minor factor in my decision,203,72,118,53,19,4
"I looked at college rankings, but they did not factor into my decision",89,25,65,15,3,2
I did not look at college rankings,24,5,13,4,5,1
