Option,Resume and cover letter assistance,Not Resume and cover letter assistance
They were a strong factor in my decision,98,253
They were a minor factor in my decision,128,340
"I looked at college rankings, but they did not factor into my decision",51,150
I did not look at college rankings,7,45
