Option,Pre-medical courses were too challenging,Not Pre-medical courses were too challenging
2400,0,21
2300-2390,2,216
2200-2290,3,241
2100-2190,3,146
2000-2090,2,71
1900-1990,1,45
1800-1890,0,32
<1800,0,13
