Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
2400,0,25
2300-2390,1,226
2200-2290,0,248
2100-2190,0,155
2000-2090,0,77
1900-1990,1,49
1800-1890,0,32
<1800,2,11
