Option,American Indian/Alaska Native,Not American Indian/Alaska Native
2400,0,25
2300-2390,0,227
2200-2290,3,245
2100-2190,1,154
2000-2090,4,73
1900-1990,1,49
1800-1890,4,28
<1800,0,13
