Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
2400,4,4,11,5,1
2300-2390,14,62,86,51,18
2200-2290,20,63,90,50,29
2100-2190,10,54,45,38,9
2000-2090,6,16,18,24,13
1900-1990,4,11,15,16,4
1800-1890,2,9,10,3,8
<1800,1,5,5,1,1
