Option,I do not use any services offered by CareerLAB,Not I do not use any services offered by CareerLAB
2400,9,16
2300-2390,82,147
2200-2290,78,173
2100-2190,62,93
2000-2090,37,40
1900-1990,13,37
1800-1890,11,21
<1800,8,5
