Option,Heterosexual,Gay,Bisexual,Other
2400,19,2,2,2
2300-2390,183,17,20,11
2200-2290,187,25,30,10
2100-2190,122,4,20,10
2000-2090,60,5,9,3
1900-1990,40,6,3,1
1800-1890,28,3,1,0
<1800,8,3,1,1
