Option,Man,Woman,Other
2400,16,9,0
2300-2390,113,110,8
2200-2290,110,136,7
2100-2190,68,86,2
2000-2090,39,38,0
1900-1990,24,26,0
1800-1890,13,19,0
<1800,9,4,0
