Option,Very accurately,Somewhat accurately,No opinion,Somewhat inaccurately,Very inaccurately
2400,1,11,3,8,2
2300-2390,15,108,31,62,15
2200-2290,9,98,49,86,11
2100-2190,7,61,22,49,17
2000-2090,2,41,12,21,1
1900-1990,2,20,10,16,2
1800-1890,8,7,9,7,1
<1800,0,8,4,0,1
