Option,I am not eligible to vote,Not I am not eligible to vote
2400,0,25
2300-2390,27,203
2200-2290,27,224
2100-2190,18,135
2000-2090,13,64
1900-1990,4,46
1800-1890,4,28
<1800,1,12
