Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
2400,20,2,0,1,2
2300-2390,142,14,38,27,7
2200-2290,145,15,40,43,5
2100-2190,77,7,33,27,10
2000-2090,28,9,16,12,12
1900-1990,7,3,13,13,13
1800-1890,3,1,9,9,10
<1800,1,0,2,5,5
