Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
2400,13,9,2,1,0
2300-2390,82,119,7,19,4
2200-2290,110,104,7,28,4
2100-2190,51,75,7,20,3
2000-2090,19,49,1,6,2
1900-1990,8,29,0,10,2
1800-1890,4,13,3,10,2
<1800,3,6,0,2,2
