Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
2400,3,12,8,2,0
2300-2390,25,96,85,22,1
2200-2290,44,103,71,30,5
2100-2190,24,56,66,10,0
2000-2090,10,29,30,8,0
1900-1990,7,20,20,3,0
1800-1890,4,16,10,1,1
<1800,2,3,6,2,0
