Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
2400,3,6,14,1,0
2300-2390,39,74,101,13,2
2200-2290,56,93,85,17,2
2100-2190,41,47,54,12,2
2000-2090,16,25,34,2,0
1900-1990,12,15,20,3,0
1800-1890,4,19,7,2,0
<1800,1,3,9,0,0
