Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
2400,10,15
2300-2390,105,122
2200-2290,89,162
2100-2190,47,108
2000-2090,28,49
1900-1990,8,39
1800-1890,6,26
<1800,4,9
