Option,I was discouraged from pursuing medical school by friends or peers,Not I was discouraged from pursuing medical school by friends or peers
2400,1,20
2300-2390,1,217
2200-2290,3,241
2100-2190,1,148
2000-2090,0,73
1900-1990,0,46
1800-1890,0,32
<1800,0,13
