Option,2400,2300-2390,2200-2290,2100-2190,2000-2090,1900-1990,1800-1890,<1800
2400,25,0,0,0,0,0,0,0
2300-2390,0,231,0,0,0,0,0,0
2200-2290,0,0,253,0,0,0,0,0
2100-2190,0,0,0,156,0,0,0,0
2000-2090,0,0,0,0,77,0,0,0
1900-1990,0,0,0,0,0,50,0,0
1800-1890,0,0,0,0,0,0,32,0
<1800,0,0,0,0,0,0,0,13
