Option,Resume and cover letter assistance,Not Resume and cover letter assistance
2400,5,20
2300-2390,49,180
2200-2290,66,185
2100-2190,48,107
2000-2090,24,53
1900-1990,17,33
1800-1890,10,22
<1800,3,10
