Option,They were a strong factor in my decision,They were a minor factor in my decision,"I looked at college rankings, but they did not factor into my decision",I did not look at college rankings
2400,11,7,7,0
2300-2390,60,120,41,9
2200-2290,77,130,33,13
2100-2190,55,60,34,7
2000-2090,30,32,13,2
1900-1990,24,18,6,2
1800-1890,13,8,9,2
<1800,5,3,5,0
