Option,First-year,Sophomore,Junior,Senior
2400,6,12,2,5
2300-2390,75,75,45,35
2200-2290,66,78,57,52
2100-2190,36,38,44,37
2000-2090,25,21,20,11
1900-1990,14,15,10,11
1800-1890,10,4,10,8
<1800,6,1,3,3
