Option,I am not familiar enough to answer,Strongly agree,Somewhat agree,It has remained the same,Somewhat disagree,Strongly disagree
2400,9,1,10,4,0,0
2300-2390,106,36,55,20,8,5
2200-2290,107,40,62,32,7,5
2100-2190,58,22,43,23,5,2
2000-2090,36,11,19,5,3,1
1900-1990,20,7,11,7,0,3
1800-1890,15,6,8,3,0,0
<1800,4,5,2,1,0,1
